"variable","mean","median","sd","max","min"
"year",1994.96287128713,1995,2.88961532373938,1999,1990
"nominations",0.152758132956153,0,1.03733087984728,14,0
"awards",0.0643564356435644,0,0.494857576961369,11,0
"bestPicture",0.00353606789250354,0,0.0593701146477878,1,0
"yearRank",145.999646393211,142,88.9316160370875,385,1
"worldwideTotal",33853051.31471,4756485,86351057.6143835,1850906470,211
"domesticTotal",19567848.9978784,4700696,37684868.7374194,600788188,211
"domesticPercent",92.0114922206506,100,19.1191586445044,100,0.8
"foreignTotal",77540407.2015355,5.3e+07,98079042.239327,1250118282,68
"foreignPercent",43.3623800383877,47.1,21.2234477845374,99.2,0.1
"foreignRelease",0.184229137199434,0,0.387739505507587,1,0
"contentRating",3.60785007072136,5,1.99203452056023,6,0
"totalAudienceReviews",187303.408172635,7749,2031654.77321912,35797635,6
"audienceReviewScore",60.8135824977211,63,21.1822348890186,100,0
"totalCriticsReviews",191.926754385965,30,1638.53379149072,67539,2
"criticsReviewScore",54.6383075523203,57,27.6741513005673,100,0
"fantasy",0.0353606789250354,0,0.1847224058194,1,0
"adventure",0.0353606789250354,0,0.1847224058194,1,0
"sci.fi",0.0325318246110325,0,0.177439111191212,1,0
"action",0.0689533239038189,0,0.25341955760164,1,0
"comedy",0.247171145685997,0,0.431443382141216,1,0
"kids.and.family",0.0526874115983027,0,0.223448212182067,1,0
"drama",0.352545968882603,0,0.477847308867763,1,0
"horror",0.0364214992927864,0,0.187369655741701,1,0
"animation",0.016973125884017,0,0.129193424413813,1,0
"crime",0.0396039603960396,0,0.195061377727316,1,0
"mystery.and.trhiller",0.0830975954738331,0,0.276078497488044,1,0
"musical",0.0123762376237624,0,0.110577529607875,1,0
"romance",0.0739038189533239,0,0.261660571408667,1,0
"music",0.00212164073550212,0,0.0460205201596501,1,0
"war",0.00388967468175389,0,0.062256852335441,1,0
"other",0.00565770862800566,0,0.0750179241922009,1,0
"biography",0.0155586987270156,0,0.123782242666626,1,0
"western",0.00601131541725601,0,0.0773129556777989,1,0
"history",0.0152050919377652,0,0.122389516959486,1,0
"documentary",0.0293493635077793,0,0.168813670878173,1,0
"sports.and.fitness",0.00388967468175389,0,0.062256852335441,1,0
"anime",0.000707213578500707,0,0.0265887836223889,1,0
"foreign",0,0,0,0,0
"famousActors",0.312942008486563,0,0.637815049735181,6,0
"runtime",105.037234042553,102,22.2609335602676,561,3
"monthNumber",6.7984441301273,7,3.3995314370618,12,1
